country,cause,year,total,,,,
Argentina,Mental and behavioural disorders,1985,7.8,,,,
Argentina,"Congenital malformations, deformations and chromosomal abnormalities",1985,9.1,,,,
Argentina,Malignant neoplasms of liver,1985,8.6,,,,
Argentina,Diseases of the genitourinary system,1985,36.8,,,,
Argentina,Chronic obstructive pulmonary diseases,1985,14.5,,,,
Argentina,Malignant neoplasms of stomach,1985,20.8,,,,
Argentina,Diabetes mellitus,1985,31.5,,,,
Argentina,"Malignant neoplasms of trachea, bronchus, lung",1985,41,,,,
Argentina,Diseases of the digestive system,1985,69.4,,,,
Argentina,Assault,1985,6.1,,,,
Argentina,Acute myocardial infarction,1985,101,,,,
Argentina,Leukemia,1985,7.1,,,,
Argentina,Diseases of the skin and subcutaneous tissue,1985,0.9,,,,
Argentina,External causes of mortality,1985,66.8,,,,
Argentina,Diseases of the circulatory system,1985,830.2,,,,
Argentina,"Symptoms, signs, ill-defined causes",1985,51.7,,,,
Argentina,Accidental falls,1985,9.3,,,,
Argentina,Cerebrovascular diseases,1985,169.5,,,,
Argentina,Diseases of the respiratory system,1985,94.1,,,,
Argentina,Accidental poisoning,1985,0.8,,,,
Argentina,Influenza,1985,0.3,,,,
Argentina,Neoplasms,1985,256,,,,
Argentina,Total,1985,1549.6,,,,
Argentina,Certain infectious and parasitic diseases,1986,39.2,,,,
Argentina,Dementia,1986,3.5,,,,
Argentina,Peptic ulcer,1986,3.1,,,,
Argentina,Diseases of the musculoskeletal system and connective tissue,1986,3,,,,
Argentina,Chronic liver diseases and cirrhosis,1986,16,,,,
Argentina,Diseases of the blood and blood-forming organs,1986,4.2,,,,
Argentina,Malignant melanoma of skin,1986,1.2,,,,
Argentina,Certain conditions originating in the perinatal period,1986,16,,,,
Argentina,Transport Accidents,1986,15.4,,,,
Argentina,Ischaemic heart diseases,1986,166,,,,
Argentina,"Endocrine, nutritional and metabolic diseases",1986,49.3,,,,
Argentina,Pneumonia,1986,34.4,,,,
Argentina,Malignant neoplasms,1986,250.1,,,,
Argentina,Diseases of the nervous system,1986,12.8,,,,
Argentina,Malignant neoplasms of bladder,1986,7.6,,,,
Argentina,Accidents,1986,44.4,,,,
Argentina,Intentional self-harm,1986,10.8,,,,
Argentina,Tuberculosis,1986,6.7,,,,
Argentina,"Malignant neoplasms of colon, rectum and anus",1986,26,,,,
Argentina,Mental and behavioural disorders,1986,7.7,,,,
Argentina,"Congenital malformations, deformations and chromosomal abnormalities",1986,5.6,,,,
Argentina,Malignant neoplasms of liver,1986,9.7,,,,
Argentina,Diseases of the genitourinary system,1986,38.5,,,,
Argentina,Chronic obstructive pulmonary diseases,1986,12.7,,,,
Argentina,Malignant neoplasms of stomach,1986,20.4,,,,
Argentina,Diabetes mellitus,1986,30,,,,
Argentina,"Malignant neoplasms of trachea, bronchus, lung",1986,39.2,,,,
Argentina,Diseases of the digestive system,1986,68.5,,,,
Argentina,Assault,1986,6.8,,,,
Argentina,Acute myocardial infarction,1986,103.3,,,,
Argentina,Leukemia,1986,7.1,,,,
Argentina,Diseases of the skin and subcutaneous tissue,1986,1,,,,
Argentina,External causes of mortality,1986,72.7,,,,
Argentina,Diseases of the circulatory system,1986,818,,,,
Argentina,"Symptoms, signs, ill-defined causes",1986,33.9,,,,
Argentina,Accidental falls,1986,9,,,,
Argentina,Cerebrovascular diseases,1986,172.1,,,,
Argentina,Diseases of the respiratory system,1986,90.2,,,,
Argentina,Accidental poisoning,1986,0.9,,,,
Argentina,Influenza,1986,0.2,,,,
Argentina,Neoplasms,1986,256.7,,,,
Argentina,Total,1986,1518.7,,,,
Argentina,Certain infectious and parasitic diseases,1987,44.3,,,,
Argentina,Dementia,1987,4.1,,,,
Argentina,Peptic ulcer,1987,3.2,,,,
Argentina,Diseases of the musculoskeletal system and connective tissue,1987,3.8,,,,
Argentina,Chronic liver diseases and cirrhosis,1987,17,,,,
Argentina,Diseases of the blood and blood-forming organs,1987,4.2,,,,
Argentina,Malignant melanoma of skin,1987,1.3,,,,
Argentina,Certain conditions originating in the perinatal period,1987,15.3,,,,
Argentina,"Endocrine, nutritional and metabolic diseases",1987,59.8,,,,
Argentina,Transport Accidents,1987,15,,,,
Argentina,Ischaemic heart diseases,1987,177,,,,
Argentina,Pneumonia,1987,44.6,,,,
Argentina,Malignant neoplasms,1987,256.1,,,,
Argentina,Diseases of the nervous system,1987,13.7,,,,
Argentina,Malignant neoplasms of bladder,1987,7.5,,,,
Argentina,Intentional self-harm,1987,10.7,,,,
Argentina,Accidents,1987,42,,,,
Argentina,Tuberculosis,1987,6.4,,,,
Argentina,"Malignant neoplasms of colon, rectum and anus",1987,27,,,,
Argentina,Mental and behavioural disorders,1987,9,,,,
Argentina,"Congenital malformations, deformations and chromosomal abnormalities",1987,5.3,,,,
Argentina,Malignant neoplasms of liver,1987,9.8,,,,
Argentina,Diseases of the genitourinary system,1987,39.4,,,,
Argentina,Chronic obstructive pulmonary diseases,1987,14,,,,
Argentina,Malignant neoplasms of stomach,1987,20.9,,,,
Argentina,Diabetes mellitus,1987,34.8,,,,
Argentina,"Malignant neoplasms of trachea, bronchus, lung",1987,41.8,,,,
Argentina,Diseases of the digestive system,1987,73,,,,
Argentina,Assault,1987,6.4,,,,
Argentina,Acute myocardial infarction,1987,110.8,,,,
Argentina,Leukemia,1987,5.9,,,,
Argentina,Diseases of the skin and subcutaneous tissue,1987,1.2,,,,
Argentina,External causes of mortality,1987,73,,,,
Argentina,Diseases of the circulatory system,1987,825.3,,,,
Argentina,"Symptoms, signs, ill-defined causes",1987,32.4,,,,
Argentina,Accidental falls,1987,9.1,,,,
Argentina,Cerebrovascular diseases,1987,176.2,,,,
Argentina,Diseases of the respiratory system,1987,111,,,,
Argentina,Accidental poisoning,1987,1,,,,
Argentina,Influenza,1987,0.2,,,,
Argentina,Neoplasms,1987,262.8,,,,
Argentina,Total,1987,1574.6,,,,
Argentina,Certain infectious and parasitic diseases,1988,42.1,,,,
Argentina,Dementia,1988,4.3,,,,
Argentina,Peptic ulcer,1988,3.2,,,,
Argentina,Diseases of the musculoskeletal system and connective tissue,1988,3.5,,,,
Argentina,Chronic liver diseases and cirrhosis,1988,17,,,,
Argentina,Diseases of the blood and blood-forming organs,1988,4.5,,,,
Argentina,Malignant melanoma of skin,1988,1.4,,,,
Argentina,Certain conditions originating in the perinatal period,1988,16,,,,
Argentina,"Endocrine, nutritional and metabolic diseases",1988,59.9,,,,
Argentina,Transport Accidents,1988,14.3,,,,
Argentina,Ischaemic heart diseases,1988,162.7,,,,
Argentina,Malignant neoplasms,1988,247.5,,,,
Argentina,Pneumonia,1988,43.4,,,,
Argentina,Diseases of the nervous system,1988,13.5,,,,
Argentina,Malignant neoplasms of bladder,1988,7.2,,,,
Argentina,Intentional self-harm,1988,10.4,,,,
Argentina,Accidents,1988,40.6,,,,
Argentina,Tuberculosis,1988,6.4,,,,
Argentina,"Malignant neoplasms of colon, rectum and anus",1988,25.8,,,,
Argentina,Mental and behavioural disorders,1988,9.1,,,,
Argentina,"Congenital malformations, deformations and chromosomal abnormalities",1988,5.8,,,,
Argentina,Malignant neoplasms of liver,1988,9.4,,,,
Argentina,Diseases of the genitourinary system,1988,36.4,,,,
Argentina,Chronic obstructive pulmonary diseases,1988,13.2,,,,
Argentina,Malignant neoplasms of stomach,1988,19.6,,,,
Argentina,Diabetes mellitus,1988,36.2,,,,
Argentina,"Malignant neoplasms of trachea, bronchus, lung",1988,40.1,,,,
Argentina,Diseases of the digestive system,1988,67.5,,,,
Argentina,Assault,1988,6.5,,,,
Argentina,Acute myocardial infarction,1988,103.2,,,,
Argentina,Leukemia,1988,5.9,,,,
Argentina,Diseases of the skin and subcutaneous tissue,1988,1,,,,
Argentina,External causes of mortality,1988,71.5,,,,
Argentina,Diseases of the circulatory system,1988,751.2,,,,
Argentina,Accidental falls,1988,8.3,,,,
Argentina,"Symptoms, signs, ill-defined causes",1988,35.6,,,,
Argentina,Cerebrovascular diseases,1988,164.1,,,,
Argentina,Diseases of the respiratory system,1988,108.3,,,,
Argentina,Accidental poisoning,1988,0.9,,,,
Argentina,Influenza,1988,0.1,,,,
Argentina,Neoplasms,1988,254.2,,,,
Argentina,Total,1988,1481.3,,,,
Argentina,Certain infectious and parasitic diseases,1989,41.2,,,,
Argentina,Dementia,1989,4,,,,
Argentina,Peptic ulcer,1989,3.1,,,,
Argentina,Diseases of the musculoskeletal system and connective tissue,1989,3.1,,,,
Argentina,Chronic liver diseases and cirrhosis,1989,15.5,,,,
Argentina,Diseases of the blood and blood-forming organs,1989,4.5,,,,
Argentina,Malignant melanoma of skin,1989,1.1,,,,
Argentina,Certain conditions originating in the perinatal period,1989,15.6,,,,
Argentina,"Endocrine, nutritional and metabolic diseases",1989,58.8,,,,
Argentina,Transport Accidents,1989,14.4,,,,
Argentina,Ischaemic heart diseases,1989,148,,,,
Argentina,Malignant neoplasms,1989,247.7,,,,
Argentina,Pneumonia,1989,40.8,,,,
Argentina,Diseases of the nervous system,1989,14.4,,,,
Argentina,Malignant neoplasms of bladder,1989,7.2,,,,
Argentina,Intentional self-harm,1989,9.9,,,,
Argentina,Accidents,1989,39.6,,,,
Argentina,Tuberculosis,1989,6,,,,
Argentina,"Malignant neoplasms of colon, rectum and anus",1989,26,,,,
Argentina,Mental and behavioural disorders,1989,7.9,,,,
Argentina,"Congenital malformations, deformations and chromosomal abnormalities",1989,5.8,,,,
Argentina,Malignant neoplasms of liver,1989,9.1,,,,
Argentina,Diseases of the genitourinary system,1989,34.6,,,,
Argentina,Chronic obstructive pulmonary diseases,1989,11.7,,,,
Argentina,Malignant neoplasms of stomach,1989,19.2,,,,
Argentina,Diabetes mellitus,1989,34.9,,,,
Argentina,"Malignant neoplasms of trachea, bronchus, lung",1989,39.1,,,,
Argentina,Diseases of the digestive system,1989,64.5,,,,
Argentina,Assault,1989,6.8,,,,
Argentina,Acute myocardial infarction,1989,96.7,,,,
Argentina,Leukemia,1989,7,,,,
Argentina,Diseases of the skin and subcutaneous tissue,1989,1,,,,
Argentina,External causes of mortality,1989,71.2,,,,
Argentina,Diseases of the circulatory system,1989,723.4,,,,
Argentina,Accidental falls,1989,8.8,,,,
Argentina,"Symptoms, signs, ill-defined causes",1989,37.2,,,,
Argentina,Cerebrovascular diseases,1989,160.7,,,,
Argentina,Diseases of the respiratory system,1989,93.5,,,,
Argentina,Accidental poisoning,1989,0.8,,,,
Argentina,Influenza,1989,0.1,,,,
Argentina,Neoplasms,1989,255,,,,
Argentina,Total,1989,1432.6,,,,
Argentina,Certain infectious and parasitic diseases,1990,41.6,,,,
Argentina,Dementia,1990,2.7,,,,
Argentina,Peptic ulcer,1990,2.7,,,,
Argentina,Diseases of the musculoskeletal system and connective tissue,1990,3.7,,,,
Argentina,Chronic liver diseases and cirrhosis,1990,14.7,,,,
Argentina,Diseases of the blood and blood-forming organs,1990,4.3,,,,
Argentina,Malignant melanoma of skin,1990,1,,,,
Argentina,Certain conditions originating in the perinatal period,1990,15.6,,,,
Argentina,"Endocrine, nutritional and metabolic diseases",1990,56.5,,,,
Argentina,Transport Accidents,1990,13.8,,,,
Argentina,Ischaemic heart diseases,1990,147.2,,,,
Argentina,Malignant neoplasms,1990,244.9,,,,
Argentina,Pneumonia,1990,42.6,,,,
Argentina,Diseases of the nervous system,1990,14.3,,,,
Argentina,Malignant neoplasms of bladder,1990,7.4,,,,
Argentina,Intentional self-harm,1990,9.3,,,,
Argentina,Accidents,1990,36.7,,,,
Argentina,Tuberculosis,1990,6.1,,,,
Argentina,"Malignant neoplasms of colon, rectum and anus",1990,25.8,,,,
Argentina,Mental and behavioural disorders,1990,6.7,,,,
Argentina,"Congenital malformations, deformations and chromosomal abnormalities",1990,5.9,,,,
Argentina,Malignant neoplasms of liver,1990,9,,,,
Argentina,Diseases of the genitourinary system,1990,33.5,,,,
Argentina,Chronic obstructive pulmonary diseases,1990,12.1,,,,
Argentina,Malignant neoplasms of stomach,1990,17.1,,,,
Argentina,Diabetes mellitus,1990,32.2,,,,
Argentina,"Malignant neoplasms of trachea, bronchus, lung",1990,37.6,,,,
Argentina,Diseases of the digestive system,1990,61.3,,,,
Argentina,Assault,1990,5.8,,,,
Argentina,Acute myocardial infarction,1990,96.7,,,,
Argentina,Leukemia,1990,6.8,,,,
Argentina,Diseases of the skin and subcutaneous tissue,1990,0.9,,,,
Argentina,External causes of mortality,1990,68,,,,
Argentina,Diseases of the circulatory system,1990,739.4,,,,
Argentina,Accidental falls,1990,7.8,,,,
Argentina,"Symptoms, signs, ill-defined causes",1990,40.8,,,,
Argentina,Cerebrovascular diseases,1990,157.9,,,,
Argentina,Diseases of the respiratory system,1990,99.4,,,,
Argentina,Accidental poisoning,1990,0.9,,,,
Argentina,Influenza,1990,0.2,,,,
Argentina,Neoplasms,1990,252,,,,
Argentina,Total,1990,1444.9,,,,
Argentina,Certain infectious and parasitic diseases,1991,45.9,,,,
Argentina,Dementia,1991,3.6,,,,
Argentina,Peptic ulcer,1991,2.3,,,,
Argentina,Diseases of the musculoskeletal system and connective tissue,1991,3.6,,,,
Argentina,Chronic liver diseases and cirrhosis,1991,14.7,,,,
Argentina,Diseases of the blood and blood-forming organs,1991,4.1,,,,
Argentina,Malignant melanoma of skin,1991,1,,,,
Argentina,Certain conditions originating in the perinatal period,1991,15,,,,
Argentina,"Endocrine, nutritional and metabolic diseases",1991,57.6,,,,
Argentina,Transport Accidents,1991,13.7,,,,
Argentina,Ischaemic heart diseases,1991,133.2,,,,
Argentina,Malignant neoplasms,1991,249.9,,,,
Argentina,Pneumonia,1991,40.8,,,,
Argentina,Diseases of the nervous system,1991,13.9,,,,
Argentina,Malignant neoplasms of bladder,1991,7.5,,,,
Argentina,Intentional self-harm,1991,8.2,,,,
Argentina,Accidents,1991,35.1,,,,
Argentina,Tuberculosis,1991,5.6,,,,
Argentina,"Malignant neoplasms of colon, rectum and anus",1991,25.4,,,,
Argentina,Mental and behavioural disorders,1991,8.3,,,,
Argentina,"Congenital malformations, deformations and chromosomal abnormalities",1991,6,,,,
Argentina,Malignant neoplasms of liver,1991,9.1,,,,
Argentina,Diseases of the genitourinary system,1991,33.5,,,,
Argentina,Chronic obstructive pulmonary diseases,1991,10.6,,,,
Argentina,Malignant neoplasms of stomach,1991,17.3,,,,
Argentina,Diabetes mellitus,1991,34.4,,,,
Argentina,"Malignant neoplasms of trachea, bronchus, lung",1991,40.1,,,,
Argentina,Diseases of the digestive system,1991,60.2,,,,
Argentina,Assault,1991,5,,,,
Argentina,Acute myocardial infarction,1991,88.2,,,,
Argentina,Leukemia,1991,6.8,,,,
Argentina,Diseases of the skin and subcutaneous tissue,1991,1.1,,,,
Argentina,External causes of mortality,1991,68.5,,,,
Argentina,Diseases of the circulatory system,1991,706.3,,,,
Argentina,Accidental falls,1991,7.3,,,,
Argentina,"Symptoms, signs, ill-defined causes",1991,38.4,,,,
Argentina,Cerebrovascular diseases,1991,155.2,,,,
Argentina,Diseases of the respiratory system,1991,97.3,,,,
Argentina,Accidental poisoning,1991,1.1,,,,
Argentina,Neoplasms,1991,257,,,,
Argentina,Influenza,1991,0.1,,,,
Argentina,Total,1991,1417.4,,,,
Argentina,Certain infectious and parasitic diseases,1992,48.8,,,,
Argentina,Dementia,1992,5.3,,,,
Argentina,Peptic ulcer,1992,2.4,,,,
Argentina,Diseases of the musculoskeletal system and connective tissue,1992,2.8,,,,
Argentina,Chronic liver diseases and cirrhosis,1992,14.5,,,,
Argentina,Diseases of the blood and blood-forming organs,1992,4.9,,,,
Argentina,Malignant melanoma of skin,1992,1.2,,,,
Argentina,Certain conditions originating in the perinatal period,1992,14.2,,,,
Argentina,"Endocrine, nutritional and metabolic diseases",1992,60.1,,,,
Argentina,Transport Accidents,1992,14.1,,,,
Argentina,Ischaemic heart diseases,1992,132.6,,,,
Argentina,Malignant neoplasms,1992,248.5,,,,
Argentina,Pneumonia,1992,38.7,,,,
Argentina,Diseases of the nervous system,1992,15.1,,,,
Argentina,Malignant neoplasms of bladder,1992,7.7,,,,
Argentina,Intentional self-harm,1992,9,,,,
Argentina,Accidents,1992,35.2,,,,
Argentina,Tuberculosis,1992,5.4,,,,
Argentina,"Malignant neoplasms of colon, rectum and anus",1992,25.2,,,,
Argentina,Mental and behavioural disorders,1992,10.4,,,,
Argentina,"Congenital malformations, deformations and chromosomal abnormalities",1992,5.6,,,,
Argentina,Malignant neoplasms of liver,1992,9.1,,,,
Argentina,Diseases of the genitourinary system,1992,35.6,,,,
Argentina,Chronic obstructive pulmonary diseases,1992,9.6,,,,
Argentina,Malignant neoplasms of stomach,1992,16.4,,,,
Argentina,Diabetes mellitus,1992,35,,,,
Argentina,"Malignant neoplasms of trachea, bronchus, lung",1992,38.7,,,,
Argentina,Diseases of the digestive system,1992,60.9,,,,
Argentina,Assault,1992,5.3,,,,
Argentina,Acute myocardial infarction,1992,88.5,,,,
Argentina,Leukemia,1992,7,,,,
Argentina,Diseases of the skin and subcutaneous tissue,1992,1.2,,,,
Argentina,External causes of mortality,1992,69.8,,,,
Argentina,Diseases of the circulatory system,1992,724.6,,,,
Argentina,Accidental falls,1992,6,,,,
Argentina,"Symptoms, signs, ill-defined causes",1992,41.7,,,,
Argentina,Cerebrovascular diseases,1992,156.2,,,,
Argentina,Diseases of the respiratory system,1992,100.8,,,,
Argentina,Accidental poisoning,1992,1.2,,,,
Argentina,Neoplasms,1992,255.9,,,,
Argentina,Influenza,1992,0.1,,,,
Argentina,Total,1992,1453.6,,,,
Argentina,Certain infectious and parasitic diseases,1993,50.7,,,,
Argentina,Dementia,1993,6.2,,,,
Argentina,Peptic ulcer,1993,2.4,,,,
Argentina,Diseases of the musculoskeletal system and connective tissue,1993,2.5,,,,
Argentina,Chronic liver diseases and cirrhosis,1993,13.1,,,,
Argentina,Diseases of the blood and blood-forming organs,1993,4.9,,,,
Argentina,Malignant melanoma of skin,1993,1.4,,,,
Argentina,Certain conditions originating in the perinatal period,1993,13,,,,
Argentina,Transport Accidents,1993,15.8,,,,
Argentina,Ischaemic heart diseases,1993,128.3,,,,
Argentina,"Endocrine, nutritional and metabolic diseases",1993,66.5,,,,
Argentina,Malignant neoplasms,1993,248.8,,,,
Argentina,Pneumonia,1993,44.2,,,,
Argentina,Diseases of the nervous system,1993,15.1,,,,
Argentina,Malignant neoplasms of bladder,1993,7.1,,,,
Argentina,Intentional self-harm,1993,9.3,,,,
Argentina,Accidents,1993,37.9,,,,
Argentina,Tuberculosis,1993,5.6,,,,
Argentina,"Malignant neoplasms of colon, rectum and anus",1993,25.6,,,,
Argentina,Mental and behavioural disorders,1993,11.4,,,,
Argentina,"Congenital malformations, deformations and chromosomal abnormalities",1993,5.7,,,,
Argentina,Malignant neoplasms of liver,1993,9.3,,,,
Argentina,Diseases of the genitourinary system,1993,35.2,,,,
Argentina,Chronic obstructive pulmonary diseases,1993,9.6,,,,
Argentina,Malignant neoplasms of stomach,1993,15.7,,,,
Argentina,Diabetes mellitus,1993,37.9,,,,
Argentina,"Malignant neoplasms of trachea, bronchus, lung",1993,39.3,,,,
Argentina,Diseases of the digestive system,1993,59.8,,,,
Argentina,Assault,1993,5.9,,,,
Argentina,Acute myocardial infarction,1993,85.8,,,,
Argentina,Leukemia,1993,6.9,,,,
Argentina,Diseases of the skin and subcutaneous tissue,1993,1.2,,,,
Argentina,Diseases of the circulatory system,1993,719.6,,,,
Argentina,External causes of mortality,1993,75.4,,,,
Argentina,Accidental falls,1993,6.3,,,,
Argentina,"Symptoms, signs, ill-defined causes",1993,39.7,,,,
Argentina,Cerebrovascular diseases,1993,151.2,,,,
Argentina,Diseases of the respiratory system,1993,109.7,,,,
